   R0625040000030324Instrumentos financieros                      
0615330000BR82290901          19820930BRP500000000002230751INP    
0615330000BR51040604          19810630BRP500000000002370729INP    
0615330000BR51100711          19810630BRP500000000001901610INP    
0615330000BR02031111          19821130BRP500000000001484684INP    
0615330000BR52230606          19820630BRP500000000002066681INP    
0615330000BR91040403          19811031BRP500000000002362144INP    
0615330000BR91070803          19811031BRP500000000002336802INP    
0615330000BR85280305          19850930BRP500000000000861852INP    
0615330000BRB2170908          19830131BRP500000000001551717INP    
0615330000BR72020604          19820831BRP500000000002129218INP    
0615330000BRB2100808          19830131BRP500000000001558003INP    
0615330000BR62191003          19820731BRP500000000002220749INP    
0615330000BR91030901          19811031BRP500000000002473606INP    
0615330000BR49201104          19890531BRP500000000000425227INP    
0615330000BR71070910          19810831BRP500000000001924475INP    
0615330000BR92241101          19821031BRP500000000002115884INP    
0615330000BR81120309          19810930BRP500000000001984186INP    
0615330000BR81270903          19810930BRP500000000002358269INP    
0615330000BRB2051008          19830131BRP500000000001551393INP    
0615330000BR92260806          19821031BRP500000000001835377INP    
0615330000BR91180805          19811031BRP500000000002188196INP    
0615330000BR61011201          19810731BRP500000000002548637INP    
0615330000BR51140607          19810630BRP500000000002156575INP    
0615330000BRA1180705          19811231BRP500000000002169021INP    
0615330000BR81271206          19810930BRP500000000002129592INP    
